location_id,place_name,category,google_rating,entry_fee
1,India Gate,Cultural & Heritage Sites,4.6,0
1,Humayun's Tomb,Cultural & Heritage Sites,4.5,30
1,Akshardham Temple,Religious & Spiritual Pilgrimages,4.6,60
1,Waste to Wonder Park,Adventure & Outdoor Activities,4.1,50
1,Jantar Mantar,"Arts, Science & Literature Attractions",4.2,15
1,Chandni Chowk,Shopping & Markets,4.2,0
1,Lotus Temple,Religious & Spiritual Pilgrimages,4.5,0
1,Red Fort,Cultural & Heritage Sites,4.5,35
1,Agrasen ki Baoli,Cultural & Heritage Sites,4.2,0
1,Sunder Nursery,Natural Landscapes & Wildlife,4.6,0
1,Garden of Five Senses,Natural Landscapes & Wildlife,4.1,35
1,Lodhi Garden,Natural Landscapes & Wildlife,4.5,0
1,National Gallery of Modern Art,"Arts, Science & Literature Attractions",4.5,20
1,National Zoological Park,Natural Landscapes & Wildlife,4.1,80
1,Qutub Minar,Cultural & Heritage Sites,4.5,35
1,Shopping at Sarojini Nagar,Shopping & Markets,4.2,0
1,National Science Centre,"Arts, Science & Literature Attractions",4.4,70
2,Marine Drive,Sightseeing & Exploration,4.5,0
2,Gateway of India,Cultural & Heritage Sites,4.6,0
2,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Cultural & Heritage Sites,4.6,500
2,NCPA Tiger safari at Borivali,Adventure & Outdoor Activities,4.3,50
2,Shopping at Colaba Causeway,Shopping & Markets,4.2,0
2,"Shopping at Linking road, Bandra",Shopping & Markets,4.2,0
2,"Phoenix marketcity Mall, Kurla",Shopping & Markets,4.5,0
2,"Jio world drive mall, BKC","Arts, Science & Literature Attractions",4.6,0
2,"Five gardens, Matunga",Sightseeing & Exploration,4.1,0
2,Worli seaface,Religious & Spiritual Pilgrimages,4.5,0
2,Siddhivinayak Temple,Religious & Spiritual Pilgrimages,4.8,0
2,Mahalaxmi Temple,Religious & Spiritual Pilgrimages,4.7,0
2,Haji Ali Dargah,Religious & Spiritual Pilgrimages,4.4,0
2,Chowpatty Beach,Natural Landscapes & Wildlife,4.3,0
2,Essel World,Adventure & Outdoor Activities,4.3,1149
2,Elephanta Caves,Cultural & Heritage Sites,4.3,550
3,Tiger�s Leap cliff top,Sightseeing & Exploration,4.4,0
3,Duke's nose trail,Adventure & Outdoor Activities,4.3,0
3,Adlabs Imagica,Adventure & Outdoor Activities,4.0,1149
3,Bhushi dam,Natural Landscapes & Wildlife,4.0,0
3,Sunset at Lion's point,Sightseeing & Exploration,4.0,0
4,Bangalore Palace,Cultural & Heritage Sites,4.2,500
4,Lalbagh Botanical Garden,Natural Landscapes & Wildlife,4.4,20
4,Cubbon Park,Natural Landscapes & Wildlife,4.4,0
4,Nehru Planetarium,"Arts, Science & Literature Attractions",4.0,35
4,National Gallery of Modern Art,Cultural & Heritage Sites,4.3,20
4,Church street,Sightseeing & Exploration,4.1,0
4,MG Road,Sightseeing & Exploration,4.2,0
4,Boating at Yediyur lake,Adventure & Outdoor Activities,4.2,50
4,Vidhana Soudha,Cultural & Heritage Sites,4.6,0
4,ISKCON Temple Bangalore,Religious & Spiritual Pilgrimages,4.6,0
5,Charminar,Cultural & Heritage Sites,4.5,25
5,Golconda Fort,Cultural & Heritage Sites,4.4,30
5,Hussain Sagar Lake,Natural Landscapes & Wildlife,4.3,0
5,Ramoji Film City,"Arts, Science & Literature Attractions",4.4,1150
5,Salar Jung Museum,"Arts, Science & Literature Attractions",4.4,20
5,Qutb Shahi Tombs,Cultural & Heritage Sites,4.4,25
5,Lad Bazaar,Shopping & Markets,4.0,0
5,Birla Mandir,Religious & Spiritual Pilgrimages,4.7,0
5,Chowmahalla Palace,Cultural & Heritage Sites,4.4,80
5,Nehru Zoological Park,Natural Landscapes & Wildlife,4.2,50
5,Infinite adventure club,Adventure & Outdoor Activities,4.4,1000
5,Lumbini Park,Natural Landscapes & Wildlife,4.1,20
6,Victoria Memorial,Cultural & Heritage Sites,4.6,30
6,Howrah Bridge,Cultural & Heritage Sites,4.6,0
6,Indian Museum,"Arts, Science & Literature Attractions",4.6,50
6,Ganga aarti,Religious & Spiritual Pilgrimages,4.6,0
