country_id,arrivals_in_numbers,014_in_percentage_,1524_in_percentage_,2534_in_percentage_,3544_in_percentage_,4554_in_percentage_,5564_in_percentage_,65_and_above_in_percentage_,average_duration_of_stay_in_days
1,80437,23.1,4.3,11.1,16.5,19.6,12.9,12.6,52.32
2,429860,19.7,6.6,7.6,13.7,26.3,16.8,9.4,32.48
3,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
8,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
26,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
34,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
43,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
53,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
71,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
76,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
80,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,64.0
3,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
8,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
26,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
34,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
43,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
53,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
71,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
76,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
80,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,46.57
3,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
8,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
26,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
34,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
43,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
53,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
71,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
76,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
80,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,26.48
3,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
8,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
26,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
34,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
43,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
53,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
71,2,0.0,0.0,0.0,0.0,50.0,50.0,0.0,25.16
