trip_id,stand_name,location_id,trip_time,vehicles_available,trips_completed,demand_level
1,Qutab Minar Metro Exit,1,2019-01-07 08:00:00+00,4,13,Balanced
2,Qutab Minar Metro Exit,1,2019-01-17 11:00:00+00,23,45,Balanced
3,Kashmere Gate Metro Interchange,1,2019-01-19 14:00:00+00,7,58,High Demand
4,Kashmere Gate Metro Interchange,1,2019-01-26 17:00:00+00,20,56,Balanced
5,Kashmere Gate ISBT,1,2019-02-10 08:00:00+00,17,30,Balanced
6,Kashmere Gate ISBT,1,2019-02-13 20:00:00+00,22,17,Balanced
7,Kashmere Gate ISBT,1,2019-02-19 14:00:00+00,33,60,Low Demand
8,Kashmere Gate ISBT,1,2019-02-20 17:00:00+00,18,27,Balanced
9,Chandni Chowk Metro Gate 3,1,2019-02-25 17:00:00+00,16,27,Balanced
10,Chandni Chowk Metro Gate 3,1,2019-03-07 20:00:00+00,2,24,Balanced
11,Kashmere Gate ISBT,1,2019-03-15 14:00:00+00,34,23,Low Demand
12,Kashmere Gate ISBT,1,2019-03-16 14:00:00+00,11,57,Balanced
13,Kashmere Gate ISBT,1,2019-03-24 14:00:00+00,5,40,Balanced
14,Kashmere Gate Metro Interchange,1,2019-03-25 08:00:00+00,33,18,Low Demand
15,Kashmere Gate ISBT,1,2019-03-26 20:00:00+00,10,70,Balanced
16,Chandni Chowk Metro Gate 3,1,2019-03-27 11:00:00+00,35,64,Low Demand
17,Kashmere Gate ISBT,1,2019-03-28 20:00:00+00,21,61,Balanced
18,Qutab Minar Metro Exit,1,2019-03-29 14:00:00+00,35,67,Low Demand
19,Kashmere Gate Metro Interchange,1,2019-04-08 14:00:00+00,34,40,Low Demand
20,Qutab Minar Metro Exit,1,2019-04-13 20:00:00+00,17,70,Balanced
21,Kashmere Gate Metro Interchange,1,2019-04-22 08:00:00+00,27,53,Low Demand
22,Qutab Minar Metro Exit,1,2019-04-30 08:00:00+00,8,16,Balanced
23,Kashmere Gate ISBT,1,2019-05-09 08:00:00+00,26,10,Low Demand
24,Qutab Minar Metro Exit,1,2019-05-10 14:00:00+00,20,64,Balanced
25,Kashmere Gate ISBT,1,2019-05-24 20:00:00+00,5,75,High Demand
26,Kashmere Gate Metro Interchange,1,2019-05-31 11:00:00+00,7,63,High Demand
27,Kashmere Gate Metro Interchange,1,2019-06-11 08:00:00+00,31,22,Low Demand
28,Kashmere Gate ISBT,1,2019-06-15 08:00:00+00,25,46,Balanced
29,Kashmere Gate Metro Interchange,1,2019-06-20 20:00:00+00,21,23,Balanced
30,Chandni Chowk Metro Gate 3,1,2019-06-21 11:00:00+00,9,23,Balanced
31,Qutab Minar Metro Exit,1,2019-06-28 20:00:00+00,18,16,Balanced
32,Kashmere Gate Metro Interchange,1,2019-07-11 11:00:00+00,25,80,Balanced
33,Chandni Chowk Metro Gate 3,1,2019-07-15 08:00:00+00,15,41,Balanced
34,Kashmere Gate ISBT,1,2019-07-19 20:00:00+00,17,30,Balanced
35,Qutab Minar Metro Exit,1,2019-07-20 11:00:00+00,3,32,Balanced
36,Chandni Chowk Metro Gate 3,1,2019-07-23 11:00:00+00,12,23,Balanced
37,Chandni Chowk Metro Gate 3,1,2019-07-28 14:00:00+00,16,38,Balanced
38,Chandni Chowk Metro Gate 3,1,2019-08-01 14:00:00+00,34,61,Low Demand
39,Kashmere Gate ISBT,1,2019-08-06 14:00:00+00,18,14,Balanced
40,Kashmere Gate ISBT,1,2019-08-18 20:00:00+00,25,65,Balanced
41,Chandni Chowk Metro Gate 3,1,2019-09-01 11:00:00+00,27,80,Low Demand
42,Kashmere Gate Metro Interchange,1,2019-09-12 11:00:00+00,20,75,Balanced
43,Chandni Chowk Metro Gate 3,1,2019-09-16 11:00:00+00,16,35,Balanced
44,Kashmere Gate Metro Interchange,1,2019-09-19 20:00:00+00,31,63,Low Demand
45,Kashmere Gate ISBT,1,2019-09-20 20:00:00+00,26,73,Low Demand
