location_id,date,weather_condition,temp_c,rainfall_mm,aqi,traffic_level,car_pct,bus_pct,metro_pct,ebikes_bikes_pct,shuttle_walk_pct
1,2019-01-07,Dense Fog / Smog,9,4,258,Moderate Traffic,18.6,22.7,45.2,5.8,7.7
1,2019-01-18,Dense Fog / Smog,13,0,347,Low Traffic,20.7,24.9,39.6,6.5,8.3
1,2019-01-20,Dense Fog / Smog,14,0,325,Heavy Congestion,12.9,15.5,58.3,6.2,7.1
1,2019-02-02,Dense Fog / Smog,18,0,412,Heavy Congestion,12.7,16.9,56.1,6.4,7.9
1,2019-02-06,Dense Fog / Smog,20,0,258,Low Traffic,23.8,23.9,37.2,6.8,8.3
1,2019-02-10,Dense Fog / Smog,18,3,317,Low Traffic,21.1,24.8,39.6,6.5,8
1,2019-02-13,Dense Fog / Smog,10,4,273,Moderate Traffic,20.4,24.5,41.4,5.7,8
1,2019-02-20,Dense Fog / Smog,18,5,424,Low Traffic,22.9,24,39.7,5.9,7.5
1,2019-02-25,Dense Fog / Smog,20,1,277,Heavy Congestion,13.5,15.2,58.2,6.4,6.7
1,2019-03-05,Pleasant / Cool,25,0,157,Low Traffic,16.7,17.5,15.6,24.4,25.8
1,2019-03-09,Clear / Sunny,26,8,99,Heavy Congestion,16.5,19.1,32.7,16.9,14.8
1,2019-03-13,Pleasant / Cool,23,3,53,Low Traffic,17.1,20.3,15.3,23.6,23.7
1,2019-03-16,Pleasant / Cool,23,8,80,Low Traffic,17.2,18.3,14.4,25.4,24.7
1,2019-03-27,Clear / Sunny,22,6,88,Heavy Congestion,17.5,18,32.2,17.8,14.5
1,2019-03-30,Clear / Sunny,29,8,51,Low Traffic,25.8,25.5,18.7,14.2,15.8
1,2019-04-03,Extreme Heatwave,38,0,93,Low Traffic,38.2,22.4,32.1,4.2,3.1
1,2019-04-17,Extreme Heatwave,40,0,110,Low Traffic,39.5,22.1,31.1,4.2,3.1
1,2019-04-19,Extreme Heatwave,41,0,121,Heavy Congestion,25.2,16,51,4.7,3.1
1,2019-04-27,Extreme Heatwave,39,0,103,Low Traffic,42.1,22.8,27.9,4,3.2
1,2019-05-06,Extreme Heatwave,38,0,149,Heavy Congestion,27.3,18.3,46.4,4.9,3.1
1,2019-05-07,Extreme Heatwave,40,0,81,Moderate Traffic,37.5,23.2,32.3,4,3
1,2019-05-09,Extreme Heatwave,38,0,126,Low Traffic,41.8,22.4,28.2,4.3,3.3
1,2019-05-16,Extreme Heatwave,40,0,49,Heavy Congestion,28.5,17.3,46.8,4.3,3.1
1,2019-05-17,Extreme Heatwave,38,0,71,Moderate Traffic,37.4,22.7,32.7,3.9,3.3
1,2019-05-18,Extreme Heatwave,40,0,155,Low Traffic,39.8,24.2,28.9,4,3.1
1,2019-05-19,Extreme Heatwave,44,0,155,Heavy Congestion,28.3,16.5,47.2,4.8,3.2
1,2019-05-23,Extreme Heatwave,43,0,150,Moderate Traffic,39.3,21.8,32,3.8,3.1
1,2019-05-24,Extreme Heatwave,42,0,127,Moderate Traffic,35.8,22.5,35,3.8,2.9
1,2019-05-25,Extreme Heatwave,42,0,119,Low Traffic,43.7,21.5,27.6,3.9,3.3
1,2019-06-03,Heavy Rain,27,76,53,Moderate Traffic,33.7,32.2,29.4,2.1,2.6
1,2019-06-04,Heavy Rain,30,71,134,Moderate Traffic,32.8,30.8,30.9,2.4,3.1
1,2019-06-05,Heavy Rain,28,81,151,Heavy Congestion,23.5,24.6,46,2.7,3.2
1,2019-06-10,Heavy Rain,26,40,110,Moderate Traffic,34,32.4,28.4,2.4,2.8
1,2019-06-15,Heavy Rain,25,88,158,Moderate Traffic,33.6,30.2,31.2,2.2,2.8
1,2019-06-23,Heavy Rain,24,101,153,Low Traffic,36,31.2,27.4,2.3,3.1
1,2019-06-28,Heavy Rain,32,87,140,Low Traffic,37.7,30.6,26.7,2.3,2.7
1,2019-07-06,Thunderstorm,26,59,133,Moderate Traffic,32.4,31.4,31,2.2,3
1,2019-07-08,Thunderstorm,24,103,106,Moderate Traffic,30.8,31.5,32.1,2.4,3.2
1,2019-08-07,Thunderstorm,25,90,140,Low Traffic,36.1,33.5,25.2,2.2,3
1,2019-08-10,Thunderstorm,24,109,75,Low Traffic,34.8,33,27,2.1,3.1
1,2019-08-17,Thunderstorm,24,69,131,Heavy Congestion,25.1,23.2,46.3,2.4,3
1,2019-08-18,Thunderstorm,28,106,146,Low Traffic,38.1,32.1,24.9,2.1,2.8
1,2019-08-21,Heavy Rain,25,85,126,Moderate Traffic,34.9,31.5,28.6,2.1,2.9
1,2019-08-24,Heavy Rain,31,85,120,Heavy Congestion,23.1,25.3,46.1,2.4,3.1
1,2019-08-30,Thunderstorm,27,75,88,Moderate Traffic,31.4,31.8,31.7,2.2,2.9
1,2019-09-16,Heavy Rain,29,88,84,Moderate Traffic,33.1,31.3,30.3,2.2,3.1
1,2019-09-22,Heavy Rain,28,42,82,Low Traffic,37.1,31.9,25.7,2.3,3
1,2019-09-23,Heavy Rain,26,92,156,Low Traffic,35.2,31.9,27.4,2.2,3.3
1,2019-09-25,Thunderstorm,25,81,54,Moderate Traffic,33.4,32.6,28.6,2.3,3.1
1,2019-10-04,Pleasant / Cool,31,6,117,Moderate Traffic,15.1,19.1,18,24.9,22.9
1,2019-10-19,Partly Cloudy,31,10,99,Low Traffic,24.8,25.2,19.9,15.2,14.9
1,2019-10-23,Pleasant / Cool,29,1,133,Moderate Traffic,14.9,19.1,17.2,24.2,24.6
1,2019-10-25,Partly Cloudy,27,9,48,Moderate Traffic,20.3,26,23.4,14.7,15.6
1,2019-10-26,Partly Cloudy,26,9,142,Low Traffic,25.6,24.5,20.2,15.7,14
1,2019-11-03,Pleasant / Cool,28,7,129,Moderate Traffic,16,19.9,17.5,23.2,23.4
1,2019-11-05,Pleasant / Cool,30,0,156,Heavy Congestion,10.9,14,23.7,26.3,25.1
1,2019-11-10,Pleasant / Cool,29,1,125,Low Traffic,17.3,18.7,14.7,24.3,25
1,2019-11-12,Clear / Sunny,29,1,151,Heavy Congestion,15.4,20.1,31.9,17.8,14.8
1,2019-11-23,Pleasant / Cool,30,4,81,Low Traffic,16.9,19.6,15,23.5,25
1,2019-11-29,Clear / Sunny,25,9,74,Moderate Traffic,23.4,24.2,22,14.7,15.7
1,2019-12-01,Dense Fog / Smog,20,5,376,Low Traffic,23.4,21.9,41.3,6,7.4
1,2019-12-02,Dense Fog / Smog,9,4,253,Moderate Traffic,19.8,22.5,44.3,5.7,7.7
1,2019-12-03,Dense Fog / Smog,13,4,351,Heavy Congestion,12.6,16,58.2,6.5,6.7
1,2019-12-07,Dense Fog / Smog,8,4,310,Low Traffic,21.6,24.2,40.4,6.2,7.6
1,2019-12-10,Dense Fog / Smog,15,1,326,Heavy Congestion,13.4,14.4,59.2,6.1,6.9
1,2019-12-17,Dense Fog / Smog,17,5,377,Low Traffic,24,22.7,39.4,6.1,7.8
1,2019-12-20,Dense Fog / Smog,18,4,268,Low Traffic,22.3,23.3,40,6.4,8
1,2019-12-22,Dense Fog / Smog,11,3,277,Moderate Traffic,18.6,23.3,44.1,6.5,7.5
1,2019-12-23,Dense Fog / Smog,18,3,252,Moderate Traffic,19.2,23.2,44.4,5.5,7.7
1,2019-12-25,Dense Fog / Smog,12,1,340,Heavy Congestion,12.7,15.6,57.1,6.9,7.7
1,2020-01-04,Dense Fog / Smog,13,5,294,Moderate Traffic,17.9,23.5,45.2,5.8,7.6
1,2020-01-07,Dense Fog / Smog,15,2,336,Heavy Congestion,13.9,16.4,55.7,6.9,7.1
1,2020-01-11,Dense Fog / Smog,16,2,351,Low Traffic,21,24.4,39.7,6.5,8.4
1,2020-01-13,Dense Fog / Smog,13,0,309,Heavy Congestion,12.3,15.5,59.2,6,7
1,2020-01-22,Dense Fog / Smog,9,0,387,Low Traffic,21,23.6,40.3,6.5,8.6
1,2020-01-30,Dense Fog / Smog,8,5,305,Moderate Traffic,18.5,23.8,44.5,5.5,7.7
1,2020-02-01,Dense Fog / Smog,13,0,320,Moderate Traffic,18.4,21.6,46,6,8
1,2020-02-13,Dense Fog / Smog,13,1,250,Heavy Congestion,11.8,16.2,58.8,6.1,7.1
1,2020-02-15,Dense Fog / Smog,10,0,310,Moderate Traffic,20.5,22,43.6,5.9,8
1,2020-02-25,Dense Fog / Smog,18,4,367,Moderate Traffic,19.4,20.8,46.1,6.2,7.5
1,2020-02-29,Dense Fog / Smog,13,4,266,Low Traffic,21.2,24.4,40,6.5,7.9
1,2020-03-08,Partly Cloudy,25,6,158,Moderate Traffic,22,25,23.4,15.2,14.4
1,2020-03-13,Clear / Sunny,23,1,100,Low Traffic,23.2,25.8,20.9,15,15.1
1,2020-03-20,Partly Cloudy,22,4,84,Heavy Congestion,16.1,19.3,32,18,14.6
1,2020-03-22,Pleasant / Cool,23,4,73,Heavy Congestion,10.6,14.1,25.4,26.7,23.2
1,2020-03-25,Partly Cloudy,26,0,79,Low Traffic,26.1,24.4,19.6,13.9,16
1,2020-05-10,Extreme Heatwave,43,0,95,Low Traffic,43.7,21,27.6,4.3,3.4
1,2020-05-20,Extreme Heatwave,43,0,100,Low Traffic,42.4,21.1,29.5,3.9,3.1
1,2020-05-28,Extreme Heatwave,43,0,138,Moderate Traffic,38.9,22.7,31.7,3.7,3
1,2020-06-02,Heavy Rain,31,102,102,Heavy Congestion,24.5,25.3,44.6,2.7,2.9
1,2020-06-03,Thunderstorm,31,38,101,Moderate Traffic,32.8,32.4,30,2.1,2.7
1,2020-06-09,Thunderstorm,32,79,119,Moderate Traffic,31.9,32,31,2.1,3
1,2020-06-16,Thunderstorm,25,94,67,Heavy Congestion,22.2,24.8,47.4,2.6,3
1,2020-06-18,Thunderstorm,29,106,146,Low Traffic,37.8,31.2,25.9,2.2,2.9
1,2020-06-20,Heavy Rain,26,72,119,Low Traffic,36.8,33.1,25,2.2,2.9
1,2020-06-29,Heavy Rain,32,41,130,Heavy Congestion,24.9,24.6,45,2.5,3
1,2020-06-30,Heavy Rain,27,47,54,Low Traffic,35.4,33.1,26.3,2.2,3
1,2020-07-03,Heavy Rain,30,49,68,Low Traffic,37,31.7,26.5,2,2.8
1,2020-07-15,Thunderstorm,31,89,144,Moderate Traffic,31.6,31.2,31.9,2.3,3
1,2020-07-19,Heavy Rain,25,96,81,Low Traffic,35.8,31.4,27.3,2.3,3.2
1,2020-07-21,Heavy Rain,29,33,51,Moderate Traffic,33,31.7,30.3,2.1,2.9
1,2020-07-28,Heavy Rain,26,90,123,Moderate Traffic,32.1,31.4,30.9,2.5,3.1
