time_id,year,month,tourism_revenue_crore_inr,foreign_tourist_arrivals
232,2019,April,17134,774651
244,2020,April,71,2820
256,2021,April,6891,78718
236,2019,August,17867,800837
248,2020,August,479,19761
260,2021,August,5251,92728
240,2019,December,22631,1226398
252,2020,December,1776,90544
264,2021,December,8452,317647
230,2019,February,17959,1090516
242,2020,February,18241,1018440
254,2021,February,5477,110312
229,2019,January,18205,1111040
241,2020,January,20200,1119250
253,2021,January,4700,94662
235,2019,July,18205,818125
247,2020,July,307,12655
259,2021,July,4105,72501
234,2019,June,16083,726446
246,2020,June,208,8590
258,2021,June,3157,36070
231,2019,March,16214,978236
243,2020,March,5830,328304
255,2021,March,6642,133768
233,2019,May,13642,615136
245,2020,May,94,3764
257,2021,May,1730,19765
239,2019,November,19840,1092440
251,2020,November,1413,70977
263,2021,November,7022,263867
238,2019,October,17057,945017
250,2020,October,831,41494
262,2021,October,5094,191415
237,2019,September,16824,751513
249,2020,September,686,28167
261,2021,September,6549,115661
