booking_id,location_id,booking_date,booking_time,status,entry_fee_inr,visit_duration_min,wait_time_min,surge_multiplier
2090,1,2021-05-27,08:00:00,Completed,30,68,28,2.5
2091,2,2020-01-31,12:00:00,Cancelled,500,144,25,1.4
2092,3,2020-05-01,13:00:00,No-Show,30,45,28,1.8
2093,4,2022-03-03,08:00:00,Completed,100,115,42,1.3
2094,5,2019-05-07,08:00:00,Completed,50,169,8,2.3
2095,6,2020-05-08,18:00:00,Cancelled,0,127,5,2.3
2096,7,2019-02-19,18:00:00,Completed,30,135,33,1.3
2097,8,2021-02-03,12:00:00,Completed,50,38,14,1.6
2098,9,2021-06-13,17:00:00,Completed,30,179,11,1.5
2099,10,2022-06-13,10:00:00,Completed,50,175,40,2.2
2100,11,2022-05-08,18:00:00,Completed,500,176,18,1.1
2101,12,2019-01-19,15:00:00,Completed,500,153,22,2.4
2102,13,2021-04-19,12:00:00,Cancelled,50,123,17,2.0
2103,14,2020-03-07,12:00:00,Completed,30,143,43,1.4
2104,15,2022-04-06,08:00:00,Completed,100,149,39,1.2
2105,16,2020-01-15,15:00:00,Completed,30,49,11,2.1
2106,17,2019-01-02,17:00:00,Cancelled,200,106,32,2.0
2107,18,2021-03-27,15:00:00,Completed,500,46,35,1.5
2108,19,2022-01-24,10:00:00,Completed,500,37,29,1.7
2109,20,2022-02-20,12:00:00,Completed,100,163,9,1.4
2110,21,2021-03-16,15:00:00,No-Show,50,57,34,2.5
2111,22,2019-03-27,10:00:00,Completed,0,107,9,1.5
2112,23,2022-05-08,15:00:00,Cancelled,200,140,42,2.3
2113,24,2020-02-15,14:00:00,Completed,100,119,15,1.7
2114,25,2020-03-23,13:00:00,Completed,50,70,23,1.6
2115,26,2020-05-13,09:00:00,Cancelled,500,35,7,1.1
2116,27,2019-02-27,15:00:00,Completed,200,56,22,1.8
2117,28,2021-06-23,17:00:00,Cancelled,0,117,9,2.0
2118,29,2021-06-17,18:00:00,Completed,200,77,38,1.8
2119,30,2019-06-03,10:00:00,Cancelled,50,120,20,2.4
2120,31,2019-03-28,18:00:00,No-Show,50,124,15,1.6
2121,32,2019-02-17,11:00:00,Completed,500,91,5,1.4
2122,33,2020-01-21,15:00:00,Completed,100,91,31,2.1
2123,34,2022-01-16,14:00:00,Completed,200,111,36,2.5
2124,35,2020-01-25,11:00:00,Completed,500,137,8,2.1
2125,36,2019-03-01,18:00:00,No-Show,500,58,14,1.6
2126,37,2019-02-05,10:00:00,No-Show,500,120,12,1.5
2127,38,2022-05-03,13:00:00,No-Show,0,137,5,2.3
2128,39,2022-02-25,15:00:00,No-Show,0,94,42,2.2
2129,40,2020-01-16,08:00:00,Completed,30,34,24,1.6
2130,41,2021-05-29,13:00:00,Completed,500,144,16,1.5
2131,42,2019-04-05,14:00:00,No-Show,50,144,29,1.1
2132,43,2022-04-15,09:00:00,Cancelled,30,114,8,1.8
2133,44,2022-06-04,17:00:00,Completed,100,63,32,1.9
2134,45,2022-03-31,19:00:00,No-Show,50,153,29,2.0
2135,46,2022-02-20,12:00:00,Completed,350,100,24,1.7
2136,47,2020-05-10,14:00:00,Completed,30,101,8,1.4
2137,48,2020-03-16,13:00:00,Completed,50,116,34,2.2
2138,49,2021-01-18,17:00:00,Completed,0,152,37,2.0
2139,50,2020-04-28,08:00:00,No-Show,0,174,43,1.8
2140,51,2019-06-24,16:00:00,Cancelled,200,65,38,1.8
2141,52,2020-03-28,10:00:00,Cancelled,0,147,22,1.0
2142,53,2021-01-07,15:00:00,Completed,200,66,33,2.2
