time_id,year,month_name,month_num,quarter,foreign_tourist_arrivals,tourism_revenue_crore_inr
229,2019,January,1,Q1,1111040,18205
230,2019,February,2,Q1,1090516,17959
231,2019,March,3,Q1,978236,16214
232,2019,April,4,Q2,774651,17134
233,2019,May,5,Q2,615136,13642
234,2019,June,6,Q2,726446,16083
235,2019,July,7,Q3,818125,18205
236,2019,August,8,Q3,800837,17867
237,2019,September,9,Q3,751513,16824
238,2019,October,10,Q4,945017,17057
239,2019,November,11,Q4,1092440,19840
240,2019,December,12,Q4,1226398,22631
241,2020,January,1,Q1,1119250,20200
242,2020,February,2,Q1,1018440,18241
243,2020,March,3,Q1,328304,5830
244,2020,April,4,Q2,2820,71
245,2020,May,5,Q2,3764,94
246,2020,June,6,Q2,8590,208
247,2020,July,7,Q3,12655,307
248,2020,August,8,Q3,19761,479
249,2020,September,9,Q3,28167,686
250,2020,October,10,Q4,41494,831
251,2020,November,11,Q4,70977,1413
252,2020,December,12,Q4,90544,1776
253,2021,January,1,Q1,94662,4700
254,2021,February,2,Q1,110312,5477
255,2021,March,3,Q1,133768,6642
256,2021,April,4,Q2,78718,6891
257,2021,May,5,Q2,19765,1730
258,2021,June,6,Q2,36070,3157
259,2021,July,7,Q3,72501,4105
260,2021,August,8,Q3,92728,5251
261,2021,September,9,Q3,115661,6549
262,2021,October,10,Q4,191415,5094
263,2021,November,11,Q4,263867,7022
264,2021,December,12,Q4,317647,8452
