trip_id,trip_date,trip_hour,location_id,city,state,stand_name,vehicles_available,trips_completed,demand_level
1,2019-01-07,8,1,Delhi,Delhi,Qutab Minar Metro Exit,4,13,Balanced
2,2019-01-17,11,1,Delhi,Delhi,Qutab Minar Metro Exit,23,45,Balanced
3,2019-01-19,14,1,Delhi,Delhi,Kashmere Gate Metro Interchange,7,58,High Demand
4,2019-01-26,17,1,Delhi,Delhi,Kashmere Gate Metro Interchange,20,56,Balanced
5,2019-02-10,8,1,Delhi,Delhi,Kashmere Gate ISBT,17,30,Balanced
6,2019-02-13,20,1,Delhi,Delhi,Kashmere Gate ISBT,22,17,Balanced
7,2019-02-19,14,1,Delhi,Delhi,Kashmere Gate ISBT,33,60,Low Demand
8,2019-02-20,17,1,Delhi,Delhi,Kashmere Gate ISBT,18,27,Balanced
9,2019-02-25,17,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,16,27,Balanced
10,2019-03-07,20,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,2,24,Balanced
11,2019-03-15,14,1,Delhi,Delhi,Kashmere Gate ISBT,34,23,Low Demand
12,2019-03-16,14,1,Delhi,Delhi,Kashmere Gate ISBT,11,57,Balanced
13,2019-03-24,14,1,Delhi,Delhi,Kashmere Gate ISBT,5,40,Balanced
14,2019-03-25,8,1,Delhi,Delhi,Kashmere Gate Metro Interchange,33,18,Low Demand
15,2019-03-26,20,1,Delhi,Delhi,Kashmere Gate ISBT,10,70,Balanced
16,2019-03-27,11,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,35,64,Low Demand
17,2019-03-28,20,1,Delhi,Delhi,Kashmere Gate ISBT,21,61,Balanced
18,2019-03-29,14,1,Delhi,Delhi,Qutab Minar Metro Exit,35,67,Low Demand
19,2019-04-08,14,1,Delhi,Delhi,Kashmere Gate Metro Interchange,34,40,Low Demand
20,2019-04-13,20,1,Delhi,Delhi,Qutab Minar Metro Exit,17,70,Balanced
21,2019-04-22,8,1,Delhi,Delhi,Kashmere Gate Metro Interchange,27,53,Low Demand
22,2019-04-30,8,1,Delhi,Delhi,Qutab Minar Metro Exit,8,16,Balanced
23,2019-05-09,8,1,Delhi,Delhi,Kashmere Gate ISBT,26,10,Low Demand
24,2019-05-10,14,1,Delhi,Delhi,Qutab Minar Metro Exit,20,64,Balanced
25,2019-05-24,20,1,Delhi,Delhi,Kashmere Gate ISBT,5,75,High Demand
26,2019-05-31,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,7,63,High Demand
27,2019-06-11,8,1,Delhi,Delhi,Kashmere Gate Metro Interchange,31,22,Low Demand
28,2019-06-15,8,1,Delhi,Delhi,Kashmere Gate ISBT,25,46,Balanced
29,2019-06-20,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,21,23,Balanced
30,2019-06-21,11,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,9,23,Balanced
31,2019-06-28,20,1,Delhi,Delhi,Qutab Minar Metro Exit,18,16,Balanced
32,2019-07-11,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,25,80,Balanced
33,2019-07-15,8,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,15,41,Balanced
34,2019-07-19,20,1,Delhi,Delhi,Kashmere Gate ISBT,17,30,Balanced
35,2019-07-20,11,1,Delhi,Delhi,Qutab Minar Metro Exit,3,32,Balanced
36,2019-07-23,11,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,12,23,Balanced
37,2019-07-28,14,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,16,38,Balanced
38,2019-08-01,14,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,34,61,Low Demand
39,2019-08-06,14,1,Delhi,Delhi,Kashmere Gate ISBT,18,14,Balanced
40,2019-08-18,20,1,Delhi,Delhi,Kashmere Gate ISBT,25,65,Balanced
41,2019-09-01,11,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,27,80,Low Demand
42,2019-09-12,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,20,75,Balanced
43,2019-09-16,11,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,16,35,Balanced
44,2019-09-19,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,31,63,Low Demand
45,2019-09-20,20,1,Delhi,Delhi,Kashmere Gate ISBT,26,73,Low Demand
46,2019-09-24,8,1,Delhi,Delhi,Qutab Minar Metro Exit,16,32,Balanced
47,2019-09-29,8,1,Delhi,Delhi,Qutab Minar Metro Exit,10,69,Balanced
48,2019-10-01,20,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,30,74,Low Demand
49,2019-10-03,17,1,Delhi,Delhi,Kashmere Gate ISBT,32,67,Low Demand
50,2019-10-26,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,26,71,Low Demand
51,2019-10-30,17,1,Delhi,Delhi,Kashmere Gate ISBT,33,38,Low Demand
52,2019-11-07,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,27,13,Low Demand
53,2019-11-10,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,18,58,Balanced
54,2019-11-14,14,1,Delhi,Delhi,Qutab Minar Metro Exit,18,20,Balanced
55,2019-11-18,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,4,13,Balanced
56,2019-11-19,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,11,40,Balanced
57,2019-12-01,8,1,Delhi,Delhi,Kashmere Gate Metro Interchange,21,58,Balanced
58,2019-12-09,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,4,54,High Demand
59,2019-12-19,17,1,Delhi,Delhi,Kashmere Gate ISBT,29,32,Low Demand
60,2019-12-21,14,1,Delhi,Delhi,Qutab Minar Metro Exit,31,65,Low Demand
61,2019-12-26,14,1,Delhi,Delhi,Qutab Minar Metro Exit,17,69,Balanced
62,2020-01-06,20,1,Delhi,Delhi,Kashmere Gate Metro Interchange,35,34,Low Demand
63,2020-02-06,20,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,8,34,Balanced
64,2020-02-15,17,1,Delhi,Delhi,Kashmere Gate Metro Interchange,2,46,Balanced
65,2020-02-20,17,1,Delhi,Delhi,Kashmere Gate Metro Interchange,6,61,High Demand
66,2020-02-26,8,1,Delhi,Delhi,Kashmere Gate ISBT,9,63,High Demand
67,2020-03-04,17,1,Delhi,Delhi,Chandni Chowk Metro Gate 3,5,22,Balanced
68,2020-03-05,11,1,Delhi,Delhi,Kashmere Gate ISBT,18,20,Balanced
69,2020-03-18,20,1,Delhi,Delhi,Kashmere Gate ISBT,29,24,Low Demand
70,2020-03-21,11,1,Delhi,Delhi,Kashmere Gate Metro Interchange,5,31,Balanced
71,2020-03-25,17,1,Delhi,Delhi,Kashmere Gate Metro Interchange,31,48,Low Demand
72,2020-03-27,20,1,Delhi,Delhi,Qutab Minar Metro Exit,30,20,Low Demand
