location_name,time_id,year,month,tourism_revenue_crore_inr,foreign_tourist_arrivals,temp_c,rainfall_mm,humidity_pct,aqi,temp_c_formatted,rainfall_formatted,humidity_formatted
Agartala,258,2021,June,3157,36070,27.26,337.5,87.5,97.5,27.3 °C,337.5 mm,87.5 %
Agartala,256,2021,April,6891,78718,28.73,37.2,65.1,143.7,28.7 °C,37.2 mm,65.1 %
Agartala,255,2021,March,6642,133768,26.32580645,17.7,62.32258065,153.6,26.3 °C,17.7 mm,62.3 %
Agartala,238,2019,October,17057,945017,25.9516129,155.1,86.06451613,181.1,26.0 °C,155.1 mm,86.1 %
Agartala,253,2021,January,4700,94662,18.21612903,1.8,73.90322581,272.2,18.2 °C,1.8 mm,73.9 %
Agartala,250,2020,October,831,41494,27.50322581,211,86.03225806,200.7,27.5 °C,211.0 mm,86.0 %
Agartala,240,2019,December,22631,1226398,18.29032258,5.6,78.67741935,295.0,18.3 °C,5.6 mm,78.7 %
Agartala,236,2019,August,17867,800837,28.16451613,165.4,85.06451613,56.0,28.2 °C,165.4 mm,85.1 %
Agartala,257,2021,May,1730,19765,28.58064516,147.5,76.38709677,129.1,28.6 °C,147.5 mm,76.4 %
Agartala,241,2020,January,20200,1119250,17.33548387,24.9,80.58064516,273.1,17.3 °C,24.9 mm,80.6 %
Agartala,243,2020,March,5830,328304,24.52903226,14,60.96774194,148.3,24.5 °C,14.0 mm,61.0 %
Agartala,242,2020,February,18241,1018440,19.49310345,4.1,68.86206897,197.4,19.5 °C,4.1 mm,68.9 %
Agartala,254,2021,February,5477,110312,20.56785714,0.8,67.75,223.1,20.6 °C,0.8 mm,67.8 %
Agartala,246,2020,June,208,8590,27.59666667,398,87.7,124.7,27.6 °C,398.0 mm,87.7 %
Agartala,245,2020,May,94,3764,27.52258065,193.3,81.38709677,128.9,27.5 °C,193.3 mm,81.4 %
Agartala,262,2021,October,5094,191415,27.17419355,190.1,83.12903226,178.0,27.2 °C,190.1 mm,83.1 %
Agartala,249,2020,September,686,28167,27.9,246,87,82.5,27.9 °C,246.0 mm,87.0 %
Agartala,251,2020,November,1413,70977,22.63333333,18.1,80.13333333,336.5,22.6 °C,18.1 mm,80.1 %
Agartala,252,2020,December,1776,90544,18.47096774,0,78.4516129,318.8,18.5 °C,0.0 mm,78.5 %
Agartala,248,2020,August,479,19761,28,224.4,85.48387097,60.7,28.0 °C,224.4 mm,85.5 %
Agartala,260,2021,August,5251,92728,27.41935484,233.3,88.19354839,53.4,27.4 °C,233.3 mm,88.2 %
Agartala,239,2019,November,19840,1092440,22.86333333,63.6,82.16666667,339.7,22.9 °C,63.6 mm,82.2 %
Agartala,232,2019,April,17134,774651,26.62666667,116.9,77.53333333,137.5,26.6 °C,116.9 mm,77.5 %
Agartala,231,2019,March,16214,978236,24.10645161,56.4,69.29032258,152.0,24.1 °C,56.4 mm,69.3 %
Agartala,233,2019,May,13642,615136,28.94193548,142.1,78.90322581,122.3,28.9 °C,142.1 mm,78.9 %
Agartala,234,2019,June,16083,726446,28.41,223.1,84.63333333,115.7,28.4 °C,223.1 mm,84.6 %
